k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.05,64,0.15,23.790842304119494,14512998.67633028,0.4136163033636066,-1.2736350419273004,34,2356108.639895809,12156890.036434472,1.04451246359453,"Strategy< 50, (34,34,34,34), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 14512998.67633028}>"
52,1.05,66,0.15,24.016874276438347,16974600.39906135,0.6843203186495767,-0.5472563107781877,36,3368168.507681261,13606431.891380087,1.1809808038102965,"Strategy< 52, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 16974600.39906135}>"
54,1.05,68,0.15,24.262992074716824,20132068.48233309,1.1978396223887273,0.26043475998553245,36,5835367.285600033,14296701.196733057,1.0630151513406054,"Strategy< 54, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 20132068.48233309}>"
56,1.05,68,0.15,24.262992074716824,20132068.48233309,1.5828508964332555,0.662525360902976,36,5835367.285600033,14296701.196733057,1.0630151513406054,"Strategy< 56, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 20132068.48233309}>"
58,1.05,70,0.15,24.77597569497696,28728427.582315437,1.3691440006194038,0.453274190974226,36,13969186.848680397,14759240.733635038,1.1055947878334307,"Strategy< 58, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 28728427.582315437}>"
60,1.05,72,0.15,25.26207975894067,40238683.21721858,1.2221481056178982,0.2894191282770246,36,20821072.00236937,15223724.270537019,0.8957747468605639,"Strategy< 60, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 40238683.21721858}>"
62,1.05,74,0.15,25.752122177703473,56514674.096083224,1.147280238005871,0.19821783128383202,40,31889365.23777672,23199709.55278831,0.9747747053606914,"Strategy< 62, (40,40,40,40), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 56514674.096083224}>"
64,1.05,76,0.15,26.51984509369916,96220775.66607806,0.916313353007974,-0.12608705167012368,40,36070929.612743326,23957421.407252483,0.6238606018758003,"Strategy< 64, (40,40,40,40), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 96220775.66607806}>"
66,1.05,78,0.15,27.18632779984942,152721485.4936382,0.8207787421617642,-0.2849347286779598,42,87277272.808114,63280043.75886731,0.9858293093492269,"Strategy< 66, (42,42,42,42), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 152721485.4936382}>"
68,1.05,80,0.15,27.786966197917135,231584940.17569458,0.8222459693095999,-0.2823580639717798,46,73852295.53490345,157732644.64079115,1.0042539149736278,"Strategy< 68, (46,46,46,46), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 231584940.17569458}>"
70,1.05,82,0.15,28.31680523273593,334354949.44367415,0.8728054517136228,-0.19626798184219849,46,146123966.09377232,166983302.5279008,0.9364517233635854,"Strategy< 70, (46,46,46,46), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 334354949.44367415}>"
72,1.05,84,0.15,29.009020333844273,540238169.6588633,0.841387588663939,-0.24915755786581512,48,212856096.1814276,229322624.78848967,0.8184884849012681,"Strategy< 72, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 540238169.6588633}>"
74,1.05,86,0.15,29.729026548623267,889874440.7864115,0.84731050537224,-0.23903733847022532,48,366160547.0023339,237702797.02377537,0.6785938738643343,"Strategy< 74, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 889874440.7864115}>"
76,1.05,88,0.15,30.587268682187833,1613189396.6721292,0.8019824820932199,-0.31835737101671624,48,421558975.08088976,250277525.37670395,0.41646473863734446,"Strategy< 76, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 1613189396.6721292}>"
78,1.05,90,0.15,31.48002473864451,2995240577.151483,0.7652025619939186,-0.386086390871746,48,472346655.69216925,258663727.61198965,0.24405731842727643,"Strategy< 78, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 2995240577.151483}>"
80,1.05,92,0.15,32.47820797683441,5982942189.110977,0.596651079276855,-0.7450406028579782,48,482761201.4414999,267052425.84727535,0.12532523357044043,"Strategy< 80, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 5982942189.110977}>"
82,1.05,94,0.15,33.520175492406864,12319080215.55465,0.4791241507694887,-1.0615285589849357,48,662255616.136548,279640258.2002037,0.07645829541295379,"Strategy< 82, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 12319080215.55465}>"
84,1.05,96,0.15,34.45880469341353,23612057244.54288,0.42390122010295217,-1.2381999760198428,62,10188286350.398531,13163743653.46607,0.9889875228581204,"Strategy< 84, (62,62,62,62), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 23612057244.54288}>"
86,1.05,98,0.15,35.13728047191269,37789869146.39951,0.45663423734853403,-1.1308890614281806,64,14648102071.593054,17884460310.799953,0.8608805247872259,"Strategy< 86, (64,64,64,64), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 37789869146.39951}>"
88,1.05,100,0.15,35.88654814134043,63522477983.451324,0.503340439568627,-0.990393582843557,66,38353294378.86107,25169183604.590252,1.0223054009770187,"Strategy< 88, (66,66,66,66), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 63522477983.451324}>"
90,1.05,102,0.15,36.54135125966739,100009858141.33801,0.5955975857498986,-0.7475901889084307,68,58274413405.876015,37718804806.27259,0.9598375599782081,"Strategy< 90, (68,68,68,68), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 100009858141.33801}>"
92,1.05,104,0.15,37.34590990631625,174678356521.35623,0.6583933287313836,-0.6029783773764729,70,92769500676.06628,57081693885.311165,0.85786927210445,"Strategy< 92, (70,70,70,70), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 174678356521.35623}>"
94,1.05,106,0.15,38.1367806579824,302214234538.0283,0.8123340199811819,-0.2998550301814118,72,145392409773.1063,88044140235.91504,0.7724207642497644,"Strategy< 94, (72,72,72,72), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 302214234538.0283}>"
96,1.05,108,0.15,38.95620560705549,533318200394.89386,0.9856807525921222,-0.02080764020211806,74,236807597501.02313,144167564379.7013,0.7143486976417316,"Strategy< 96, (74,74,74,74), 1.00-1.00, {'alpha': 1.05, 'c': 0.15, 'total_cost': 533318200394.89386}>"
